"","LOCATION","Value","gov_right1","nld","sstran","effpar_ele","debt_hist","internetTValue","internetTLOCATION","internetTTIME","workhourTValue","workhourTLOCATION","workhourTTIME","adulteducationTValue","adulteducationTLOCATION","adulteducationTTIME","teachinghoursTValue","teachinghoursTLOCATION","teachinghoursTTIME"
"506","DEU2009",10.3,5.57,455,17.33,5.587216449,75.61,79.069,"DEU",2009,1373,"DEU",2009,26.385326,"DEU",2009,804.92987124,"DEU",2009
"507","DEU2010",10.8,31.25,132,16.67,5.587216449,84.24,82.4875,"DEU",2010,1390,"DEU",2010,26.609148,"DEU",2010,804.85895524,"DEU",2010
"508","DEU2011",10.8,31.25,158,15.69,5.587216449,83.62,83.2549,"DEU",2011,1393,"DEU",2011,27.562323,"DEU",2011,804.11853683,"DEU",2011
"509","DEU2012",10.5,31.25,368,15.6,5.587216449,86.33,85.4999,"DEU",2012,1375,"DEU",2012,28.121572,"DEU",2012,804.34644252,"DEU",2012
"510","DEU2013",10.8,29.97,1384,15.55,4.824974066,81.43,87.747,"DEU",2013,1362,"DEU",2013,28.47327,"DEU",2013,799.97540603,"DEU",2013
"511","DEU2014",10.8,0,637,15.48,4.824974066,82.11,89.4741,"DEU",2014,1368,"DEU",2014,27.057884,"DEU",2014,799.80084762,"DEU",2014
"512","DNK1960",22.8,44.19,82,7.4,3.81008988,32.98,0,"0",0,0,"0",0,0,"0",0,0,"0",0
"513","DNK1961",19.1,29.41,34,7.5,3.81008988,26.91,0,"0",0,0,"0",0,0,"0",0,0,"0",0
"514","DNK1962",21.7,29.41,26,7.7,3.81008988,25.1,0,"0",0,0,"0",0,0,"0",0,0,"0",0
"515","DNK1963",21.5,29.41,19,8,3.81008988,22.48,0,"0",0,0,"0",0,0,"0",0,0,"0",0
"516","DNK1964",23.6,21.62,40,7.6,3.759059333,23.79,0,"0",0,0,"0",0,0,"0",0,0,"0",0
"517","DNK1965",21.5,0,37,8.3,3.759059333,21.16,0,"0",0,0,"0",0,0,"0",0,0,"0",0
"518","DNK1966",19.8,0,22,8.9,4.224007569,18.37,0,"0",0,0,"0",0,0,"0",0,0,"0",0
"519","DNK1967",19.5,0,22,9.8,4.224007569,16.57,0,"0",0,0,"0",0,0,"0",0,0,"0",0
"520","DNK1968",22.8,91.53,17,10.8,4.563834351,15.42,0,"0",0,0,"0",0,0,"0",0,0,"0",0
"521","DNK1969",23.1,100,48,10.8,4.563834351,13.78,0,"0",0,0,"0",0,0,"0",0,0,"0",0
"522","DNK1970",23.7,100,77,11.59,4.563834351,12.47,0,"0",0,1845,"DNK",1970,0,"0",0,0,"0",0
"523","DNK1971",27.3,77.53,31,10.99,4.535476497,12.63,0,"0",0,1810,"DNK",1971,0,"0",0,0,"0",0
"524","DNK1972",26.3,0,35,10.99,4.535476497,10.83,0,"0",0,1752,"DNK",1972,0,"0",0,0,"0",0
"525","DNK1973",26.2,3.56,205,10.49,7.123775601,9.68,0,"0",0,1710,"DNK",1973,0,"0",0,0,"0",0
"526","DNK1974",28.7,100,134,11.96,7.123775601,8.37,0,"0",0,1691,"DNK",1974,0,"0",0,0,"0",0
"527","DNK1975",26.3,11.78,147,13.17,5.610098177,7.05,0,"0",0,1617,"DNK",1975,0,"0",0,0,"0",0
"528","DNK1976",25.9,0,204,13.1,5.610098177,7.38,0,"0",0,1624,"DNK",1976,0,"0",0,0,"0",0
"529","DNK1977",26.1,0,228,13.72,5.232944526,14.44,0,"0",0,1599,"DNK",1977,0,"0",0,0,"0",0
"530","DNK1978",25.2,11.32,314,14.48,5.232944526,23.13,0,"0",0,1575,"DNK",1978,0,"0",0,0,"0",0
"531","DNK1979",27.7,27.21,218,14.89,4.995479091,31.83,0,"0",0,1564,"DNK",1979,0,"0",0,0,"0",0
"532","DNK1980",33.9,0,225,16.01,4.995479091,44.46,0,"0",0,1578,"DNK",1980,0,"0",0,0,"0",0
"533","DNK1981",31.7,0,94,17.16,5.766347595,54.48,0,"0",0,1546,"DNK",1981,14.713799,"DNK",1981,0,"0",0
"534","DNK1982",30.6,23.59,180,17.44,5.766347595,66.24,0,"0",0,1553,"DNK",1982,0,"0",0,0,"0",0
"535","DNK1983",29.8,76.19,161,16.94,5.766347595,77.08,0,"0",0,1546,"DNK",1983,0,"0",0,0,"0",0
"536","DNK1984",29.8,76.19,157,16.58,5.252845729,78.39,0,"0",0,1541,"DNK",1984,0,"0",0,0,"0",0
"537","DNK1985",28.6,76.19,820,15.82,5.252845729,75.96,0,"0",0,1528,"DNK",1985,0,"0",0,0,"0",0
"538","DNK1986",28.4,76.19,215,15.07,5.252845729,73.19,0,"0",0,1531,"DNK",1986,0,"0",0,0,"0",0
"539","DNK1987",28.4,77.93,202,15.77,5.849116199,69.93,0,"0",0,1493,"DNK",1987,0,"0",0,0,"0",0
"540","DNK1988",26.3,92.35,157,16.97,5.857475896,68.48,0,"0",0,1471,"DNK",1988,17.505634,"DNK",1988,0,"0",0
"541","DNK1989",27.1,100,132,17.81,5.857475896,66.69,0,"0",0,1455,"DNK",1989,0,"0",0,0,"0",0
"542","DNK1990",24.2,100,232,16.96,4.859558752,67.56,0,"0",0,1441,"DNK",1990,0,"0",0,0,"0",0
