Area,Consumption Segment,Country,"Sector, Category or Product",name,Value
Rural,Low,Albania,"Coffee, Tea and Cocoa",$PPP,18.25872086
Rural,Low,Albania,"Coffee, Tea and Cocoa",Local Currency,1056.285261
Rural,All,Albania,"Coffee, Tea and Cocoa",US$,15.3458698
Rural,All,Albania,"Coffee, Tea and Cocoa",$PPP,27.57062666
Rural,All,Albania,"Coffee, Tea and Cocoa",Local Currency,1594.988323
Urban,Higher,Albania,"Coffee, Tea and Cocoa",US$,0.59591194
Urban,Higher,Albania,"Coffee, Tea and Cocoa",$PPP,1.070624594
Urban,Higher,Albania,"Coffee, Tea and Cocoa",Local Currency,61.9367034
Urban,Middle,Albania,"Coffee, Tea and Cocoa",US$,10.67511321
Urban,Middle,Albania,"Coffee, Tea and Cocoa",$PPP,19.17907326
Urban,Middle,Albania,"Coffee, Tea and Cocoa",Local Currency,1109.528567
Urban,Lowest,Albania,"Coffee, Tea and Cocoa",US$,0.138906099
Urban,Lowest,Albania,"Coffee, Tea and Cocoa",$PPP,0.249560842
Urban,Lowest,Albania,"Coffee, Tea and Cocoa",Local Currency,14.43734427
Urban,Low,Albania,"Coffee, Tea and Cocoa",US$,6.83436847
Urban,Low,Albania,"Coffee, Tea and Cocoa",$PPP,12.27873194
Urban,Low,Albania,"Coffee, Tea and Cocoa",Local Currency,710.3369213
Urban,All,Albania,"Coffee, Tea and Cocoa",US$,18.24429971
Urban,All,Albania,"Coffee, Tea and Cocoa",$PPP,32.77799061
Urban,All,Albania,"Coffee, Tea and Cocoa",Local Currency,1896.239535
National,Higher,Armenia,"Coffee, Tea and Cocoa",US$,0
National,Higher,Armenia,"Coffee, Tea and Cocoa",$PPP,0
National,Higher,Armenia,"Coffee, Tea and Cocoa",Local Currency,0
National,Middle,Armenia,"Coffee, Tea and Cocoa",US$,0
National,Middle,Armenia,"Coffee, Tea and Cocoa",$PPP,0
National,Middle,Armenia,"Coffee, Tea and Cocoa",Local Currency,0
National,Lowest,Armenia,"Coffee, Tea and Cocoa",US$,0
National,Lowest,Armenia,"Coffee, Tea and Cocoa",$PPP,0
National,Lowest,Armenia,"Coffee, Tea and Cocoa",Local Currency,0
National,Low,Armenia,"Coffee, Tea and Cocoa",US$,0
National,Low,Armenia,"Coffee, Tea and Cocoa",$PPP,0
National,Low,Armenia,"Coffee, Tea and Cocoa",Local Currency,0
National,All,Armenia,"Coffee, Tea and Cocoa",US$,0
National,All,Armenia,"Coffee, Tea and Cocoa",$PPP,0
National,All,Armenia,"Coffee, Tea and Cocoa",Local Currency,0
Rural,Higher,Armenia,"Coffee, Tea and Cocoa",US$,0
Rural,Higher,Armenia,"Coffee, Tea and Cocoa",$PPP,0
Rural,Higher,Armenia,"Coffee, Tea and Cocoa",Local Currency,0
Rural,Middle,Armenia,"Coffee, Tea and Cocoa",US$,0
Rural,Middle,Armenia,"Coffee, Tea and Cocoa",$PPP,0
Rural,Middle,Armenia,"Coffee, Tea and Cocoa",Local Currency,0
Rural,Lowest,Armenia,"Coffee, Tea and Cocoa",US$,0
Rural,Lowest,Armenia,"Coffee, Tea and Cocoa",$PPP,0
Rural,Lowest,Armenia,"Coffee, Tea and Cocoa",Local Currency,0
Rural,Low,Armenia,"Coffee, Tea and Cocoa",US$,0
Rural,Low,Armenia,"Coffee, Tea and Cocoa",$PPP,0
Rural,Low,Armenia,"Coffee, Tea and Cocoa",Local Currency,0
Rural,All,Armenia,"Coffee, Tea and Cocoa",US$,0
Rural,All,Armenia,"Coffee, Tea and Cocoa",$PPP,0
Rural,All,Armenia,"Coffee, Tea and Cocoa",Local Currency,0
Urban,Higher,Armenia,"Coffee, Tea and Cocoa",US$,0
Urban,Higher,Armenia,"Coffee, Tea and Cocoa",$PPP,0
Urban,Higher,Armenia,"Coffee, Tea and Cocoa",Local Currency,0
Urban,Middle,Armenia,"Coffee, Tea and Cocoa",US$,0
Urban,Middle,Armenia,"Coffee, Tea and Cocoa",$PPP,0
Urban,Middle,Armenia,"Coffee, Tea and Cocoa",Local Currency,0
Urban,Lowest,Armenia,"Coffee, Tea and Cocoa",US$,0
